OTTERNO,DATE,YEAR,SITE,LAT,LONG,AGECLASS,AGE,SEX,WEIGHT,LENGTH,TG,SN,NC,TGPOS,SNPOS,NCPOS,NLCDV0,NLCDV11,NLCDV12,NLCDV21,NLCDV22,NLCDV23,NLCDV24,NLCDV31,NLCDV41,NLCDV42,NLCDV43,NLCDV51,NLCDV52,NLCDV90,NLCDV95,PD,HD,RD,NLCDV71,NLCDV81,NLCDV82,NLCDVSUM,imp5,imp50,imp,NLCDV72,LCIV0,LCIV1,LCIV5,LCIV6,LCIV8,LCIV10,LCIV12,LCIV13,LCIV14,LCIV15,LCIV16,LCIV17,LCIV18,LCIV19,CapID,REGION,ATOS_min,ATOS,ATOS_max,ATOS_dist,Long_move,Found,Diet.Name,Grp_6,N_bouts,N_dives,success_rt,urchin,abalone,mussel,clam,snail,crab_other,kelp_crab,cancer_crab,sand_crab,star,worm,chiton,sand_dollar,octopus,squid,misc_rocky,lobster,fishegg
1046,39974,2009,MONT,NA,NA,AA,11.35386721,F,19.2,120,320,160,NA,1,0,0,0,0.004552397,NA,0.055555817,0.012045509,0.006723142,0.001169575,0.011891056,9.81E-05,0.226337841,0.102004082,NA,0.28851217,0.006286905,0.003750784,43.69350384,18.66646622,2.011988658,0.217127535,0.00832931,0.055615815,NA,0.03779781,0.007583384,1.195588602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046x39974,MBA,413,413.5,414,1,0,1,Crab,3,10,318,0.590277778,0.03952663,0.122459298,0,0.135576732,0.161229093,0.062718652,0.218174225,0.132139885,0,0.019545281,0.098009006,0.010621197,0,0,0,0,0,0
1048,39352,2007,MONT,NA,NA,A,11.65229295,F,20.7,120.6,640,160,NA,1,0,0,0,0.004957215,NA,0.079253148,0.026003218,0.018204853,0.003539457,0.013311584,7.21E-05,0.130980605,0.102740195,NA,0.265067226,0.006330409,0.004448797,112.8439982,50.39327244,2.79219131,0.260596499,0.010981463,0.073513187,NA,0.078921659,0.020976967,2.76929943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048x39352,MBA,390,390,390,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,39352,2007,MONT,NA,NA,A,5.650924025,F,21.7,114.7,80,5120,NA,0,1,0,0,0.00474036,NA,0.059355677,0.014501261,0.009582636,0.001858437,0.012422406,8.13E-05,0.158592582,0.108946007,NA,0.281124221,0.006329813,0.004288613,53.933424,20.71298641,2.109741232,0.257325836,0.010585532,0.070265347,NA,0.046587721,0.011028908,1.553589385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049x39352,MBA,403,403,403,0,0,1,Mussel,1,7,231,0.898203593,0.122126131,0,0.514950141,0.006757627,0,0.077988711,0.040565981,0,0,0.008867336,0.224961538,3.33E-03,0,0,0,0.000450814,0,0
1050,39352,2007,MONT,NA,NA,A,5.650924025,F,21.4,116,40,1280,NA,0,1,0,0,0.00452182,NA,0.055428029,0.01200365,0.006651439,0.001153309,0.011747043,9.85E-05,0.228994619,0.101877347,NA,0.288476616,0.006260114,0.003718,43.43626302,18.63495138,2.007827904,0.21592136,0.008226115,0.054922043,NA,0.037650354,0.007497655,1.187657043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050x39352,MBA,414,414,414,0,0,1,Mussel,1,6,158,0.850393701,0.376307806,0,0.352528006,2.21E-05,3.46E-05,0.091790712,0.131300032,0,0,0.047545151,0.000453109,0,0,0,0,1.85E-05,0,0
1051,39352,2007,MONT,NA,NA,A,4.651608487,F,20.7,118.5,1280,40,NA,1,0,0,0,0.00452182,NA,0.055428029,0.01200365,0.006651439,0.001153309,0.011747043,9.85E-05,0.228994619,0.101877347,NA,0.288476616,0.006260114,0.003718,43.43626302,18.63495138,2.007827904,0.21592136,0.008226115,0.054922043,NA,0.037650354,0.007497655,1.187657043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051x39352,MBA,414,414,414,0,0,1,Snail,2,7,163,0.724137931,0.093237772,0,0.006389571,0.001240451,2.82E-01,0.027867743,0.4325224,0.14230635,0,0.01227308,0.000839908,7.12E-05,0.001072527,0,0.000338527,1.82E-04,0,0
1052,39352,2007,MONT,NA,NA,A,3.65229295,F,19.4,118.5,80,160,NA,0,0,0,0,0.00452182,NA,0.055428029,0.01200365,0.006651439,0.001153309,0.011747043,9.85E-05,0.228994619,0.101877347,NA,0.288476616,0.006260114,0.003718,43.43626302,18.63495138,2.007827904,0.21592136,0.008226115,0.054922043,NA,0.037650354,0.007497655,1.187657043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052x39352,MBA,414,414,414,0,0,1,Clam,4,6,89,0.712328767,0.031232714,0,0.157661432,4.35E-01,0.00E+00,0.029259512,0,0.279197427,0.04990942,0.007697673,0.008968245,0,0,0,0,1.22E-03,0,0
1053,40336,2010,MONT,NA,NA,A,6.346338125,F,20.8,119.8,40,40,40,0,0,0,0,0.005162995,NA,0.062663797,0.016523281,0.012961638,0.002740287,0.014709081,7.64E-05,0.106194786,0.109597817,NA,0.282354671,0.006839321,0.004811053,67.54766369,24.49822673,2.231183502,0.281095838,0.012213086,0.082055951,NA,0.054107731,0.015182265,1.937094099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053x40336,MBA,378,379.3333333,381,3,0,1,Clam,4,9,181,0.860869565,0,0,0.000656729,0.449043336,2.54E-05,0.145378184,0,0.318468059,0,0,0.051005281,0.00E+00,0.000131175,0.035084878,0.000194608,1.23E-05,0,0
1054,39695,2008,MONT,NA,NA,A,6.590006845,F,19,119.8,40,160,NA,0,0,0,0,0.00517163,NA,0.063217478,0.016963541,0.013739838,0.002951208,0.014736166,7.81E-05,0.105449442,0.109708291,NA,0.281535937,0.006848645,0.004816743,70.78112841,25.56982812,2.256670697,0.280523907,0.012195862,0.082063238,NA,0.055863426,0.016146949,2.025549759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054x39695,MBA,377,377.5,378,1,0,1,Clam,4,9,111,0.8,0,0,0,0.025238864,0,0.041655644,0.126720905,0.203148126,0,0,0.135961367,0,0.467275095,0,0,0,0,0
1056,41018,2012,MONT,NA,NA,A,4.624229979,F,21.8,119.7,80,1280,40,0,1,0,0,0.00514636,NA,0.062693144,0.016474114,0.01267476,0.002646278,0.014634342,7.55E-05,0.10791466,0.109465569,NA,0.282206894,0.006815204,0.004792882,66.75538984,24.42076607,2.228656234,0.280559825,0.012173649,0.081726769,NA,0.053690256,0.014808458,1.908217712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056x41018,MBA,380,380.6666667,381,1,0,1,Crab,3,22,748,0.634460548,0.088840388,0.020406883,0,0.068327226,1.37E-03,0.047978971,0.209529192,0.325241393,0,0.043597048,0.188619121,0.001774909,0,0,0,4.32E-03,0,0
1057,40788,2011,MONT,NA,NA,A,3.822039699,F,18.5,112.7,40,40,40,0,0,0,0,0.005116754,NA,0.062828855,0.016514039,0.012496292,0.002580978,0.014501611,7.73E-05,0.111437682,0.109175055,NA,0.281626892,0.006771547,0.00475826,66.57865841,24.63980447,2.232619153,0.278979698,0.012080978,0.081054104,NA,0.053561951,0.014568131,1.892697844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057x40788,MBA,382,382,382,0,0,1,Mussel,1,15,677,0.864693446,0.114385742,0,0.618826425,0.002354989,0.00E+00,0.009257583,0.128254017,0.015223872,0,2.35E-03,0.006360055,0,0.00E+00,1.09E-02,0.091372441,0.000712189,0,0
